timestamp_utc	pid	ppid	etime	rss_kb	cpu_percent
2026-06-12T21:53:17Z	11944	76700	00:10	135028	93.1
2026-06-12T21:58:18Z	11944	76700	05:13	66692	25.2
2026-06-12T22:03:21Z	11944	76700	10:13	88260	73.1
2026-06-12T22:08:21Z	11944	76700	15:16	128460	17.1
2026-06-12T22:13:24Z	11944	76700	20:16	116116	57.6
2026-06-12T22:18:24Z	11944	76700	25:17	128932	30.2
2026-06-12T22:23:25Z	11944	76700	30:17	99752	6.6
2026-06-12T22:28:26Z	11944	76700	35:19	82772	42.1
2026-06-12T22:33:27Z	11944	76700	40:20	66136	0.8
2026-06-12T22:38:28Z	11944	76700	45:31	121328	48.6
2026-06-12T22:43:39Z	11944	76700	50:31	87012	13.2
2026-06-12T22:48:39Z	11944	76700	55:35	80100	32.2
2026-06-12T22:53:43Z	11944	76700	01:00:35	144660	63.9
2026-06-12T22:58:43Z	11944	76700	01:05:36	133360	1.0
2026-06-12T23:03:44Z	11944	76700	01:10:36	166400	42.3
2026-06-12T23:08:44Z	11944	76700	01:15:36	179688	89.8
2026-06-12T23:13:44Z	11944	76700	01:20:38	191724	93.4
2026-06-12T23:18:46Z	11944	76700	01:25:38	199048	0.6
2026-06-12T23:23:46Z	11944	76700	01:30:38	199352	86.7
2026-06-12T23:28:46Z	11944	76700	01:35:39	205380	2.0
2026-06-12T23:33:47Z	11944	76700	01:40:40	212580	88.6
2026-06-12T23:38:48Z	11944	76700	01:45:40	213844	87.0
2026-06-12T23:43:48Z	11944	76700	01:50:40	216744	0.3
2026-06-12T23:48:48Z	11944	76700	01:55:40	218952	91.0
2026-06-12T23:53:17Z	11944	76700	02:00:10	219864	61.2
